Date,Open,High,Low,Close*,Adj Close**,Volume
01-May-06,658,723,637,642.5,642.5,"137,161"
01-Apr-06,582,651.8,582,651.8,651.8,"8,121"
01-Mar-06,562.5,589.6,539.9,581.8,581.8,"94,801"
01-Feb-06,570.8,575.3,535.5,561.6,561.6,"10,165"
01-Dec-05,494.2,538.5,490.1,517.1,517.1,"12,240"
01-Nov-05,463,502.3,455.3,494.6,494.6,"157,642"
01-Oct-05,467.8,478.5,460.5,465.1,465.1,"2,106"
01-Sep-05,438.5,474,438.5,469,469,"11,805"
01-Aug-05,430,449.5,429.1,433.8,433.8,"3,085"
01-Jul-05,427.8,430.5,419.6,429.9,429.9,"44,574"
01-Jun-05,416.4,442.5,414,435.9,435.9,"6,950"
01-Apr-05,428.3,438.2,422.7,435,435,"2,579"
01-Mar-05,435,446.4,424.7,428.7,428.7,"3,171"
01-Feb-05,422.2,436,410.1,436.5,436.5,"8,468"
01-Jan-05,431,431,418.7,421.8,421.8,"115,342"
01-Dec-04,451.6,456.5,432.6,437.5,437.5,"12,728"
01-Nov-04,427.3,454.8,424.6,451.3,451.3,"183,608"
01-Oct-04,419.1,430,410.3,428.5,428.5,"2,646"
01-Sep-04,407.3,418.8,396.8,418.7,418.7,"16,144"
01-Jul-04,396,408.1,385,391,391,"116,575"
01-Jun-04,393.9,405,383,392.6,392.6,"6,207"
01-May-04,387,396.3,375.8,394,394,"144,835"
01-Apr-04,427.2,432,380,387,387,"6,579"
01-Mar-04,396.4,428,391.1,427.3,427.3,"105,746"
01-Jan-04,415.7,428.2,396.5,402.2,402.2,"132,663"
01-Dec-03,397.2,417.2,397,415.7,415.7,"10,267"
01-Nov-03,382.8,402,377,396.8,396.8,"165,003"
01-Oct-03,385.5,394,368,384.5,384.5,"3,594"
01-Sep-03,375,388.7,372.9,385.4,385.4,"16,207"
01-Aug-03,354.1,375,346,375.7,375.7,"5,743"
01-Jul-03,351.4,364.8,342.1,354,354,"86,330"
01-May-03,339,370,339,364.5,364.5,"164,025"
01-Apr-03,336,338.4,319.3,339.1,339.1,"3,097"
01-Mar-03,349.2,356.8,326,335.9,335.9,"6,100"
01-Feb-03,368,388.9,342,350.2,350.2,"6,928"
01-Jan-03,346.1,372,345.2,368.3,368.3,"8,298"
01-Nov-02,318.8,324.5,316.5,316.8,316.8,"54,551"
01-Oct-02,322,322.9,309.8,318,318,"3,849"
01-Aug-02,303.2,318,298,312.4,312.4,"3,256"
01-Jul-02,314,323.9,300.8,303.2,303.2,"28,530"
01-Jun-02,326.6,330.3,313.5,313.5,313.5,"5,817"
01-May-02,309.1,329,306.8,326.5,326.5,"29,743"
01-Apr-02,302.6,312.5,297.5,308.9,308.9,"2,226"
01-Mar-02,298,304.5,289.9,302.6,302.6,"29,465"
01-Feb-02,282.3,308,282.2,296.7,296.7,"3,964"
01-Jan-02,278.9,287.4,278.1,282.1,282.1,"28,613"
01-Dec-01,273.5,281.3,271.2,278.7,278.7,"2,157"
01-Nov-01,279.7,281,272.3,273.9,273.9,"27,949"
01-Oct-01,291.8,292.9,275.5,279.5,279.5,893
01-Sep-01,271.6,294,271.6,292.4,292.4,"3,137"
01-Aug-01,266.2,279.3,265.8,274.4,274.4,"1,817"
01-Jun-01,264.7,277,264.5,270.6,270.6,"1,350"
01-May-01,264.4,287.4,264.2,265.3,265.3,"32,850"
01-Mar-01,265.2,271.6,256.6,257.9,257.9,"31,161"
01-Feb-01,266.3,268.9,255,266.8,266.8,"1,066"
01-Jan-01,268.4,268.4,262.8,265.6,265.6,"17,811"
01-Dec-00,269.7,276,268,272,272,"1,664"
01-Nov-00,263.9,270.2,263.9,270.1,270.1,"32,465"
01-Sep-00,277,278.4,269,273.6,273.6,"4,291"
